LAT,LONG,Site,5_14_07,5_17_07,5_21_07,5_24_07,5_29_07,6_1_07,6_5_07,6_8_07,6_12_07,6_15_07,6_19_07,6_22_07,6_26_07,6_29_07,7_3_07,7_6_07
,,,,,,,,,,,,,,,,,,
47.314603,-117.382814,Plaza,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,3
47.270253,-117.520299,Blackman,0,0,0,1,3,2,0,1,0,0,0,1,0,1,2,1
47.224666,-117.403166,Henning,1,1,0,0,5,12,2,2,0,0,0,0,1,1,0,2
47.190423,-117.331072,Heinnmann,0,0,0,4,1,1,4,0,0,0,0,0,0,1,1,0
47.166769,-117.334029,File Rd,0,0,0,0,6,2,0,3,0,0,0,0,2,0,3,3
47.116506,-117.254199,Thornton,0,0,0,0,0,0,2,3,0,1,0,1,0,0,1,2
47.048502,-117.325159,Steptoe,0,0,0,0,0,1,1,1,0,0,0,0,0,2,1,4
46.928757,-117.087147,Landerste,0,0,0,0,1,2,0,2,0,0,0,0,1,0,0,1
46.91693,-117.138888,Barstow,0,0,2,0,0,0,0,1,0,1,0,1,1,0,0,1
46.775833,-117.282946,Albion,1,2,0,0,1,2,3,1,0,1,3,0,0,3,11,6
46.761705,-117.203935,Conservat,0,3,1,1,0,6,2,1,1,0,0,0,3,1,5,3
46.746922,-117.428642,Almota,0,0,0,1,0,2,0,0,2,2,4,1,3,17,20,11
46.724747,-116.952618,Parker,0,1,0,0,1,8,2,1,0,0,1,0,0,3,3,9
46.698709,-117.133892,Spillman,0,0,0,0,1,4,2,0,0,0,3,1,3,1,0,2
46.665613,-116.965923,Eid,0,0,0,0,1,0,2,0,0,0,2,0,0,1,1,2
46.602833,-117.17183,Sodorff,0,0,0,0,1,0,1,0,1,0,1,0,0,4,2,7
46.589685,-116.945037,Kluss,3,0,8,1,1,2,1,0,0,0,1,0,0,0,0,1
46.578392,-116.949661,Kambitsch,0,0,1,1,0,2,3,1,0,0,1,1,1,2,3,4
46.551782,-116.838786,GrayEagle,0,4,0,0,2,0,5,2,1,1,2,0,0,1,2,1
46.542166,-116.80866,Quarry,0,0,0,2,0,1,11,3,0,3,1,0,0,2,3,1
